SBD,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,KHTN,Lịch sử,Địa lý,GDCD,KHXH
52001393,7.40,7.25,8.20,7.00,5.50,5.50,6.00,,,,
52001394,8.40,7.00,9.40,6.50,6.75,5.25,6.16,,,,
52001395,7.80,7.50,8.20,6.25,5.75,5.00,5.66,,,,
52001396,7.20,7.00,7.60,5.25,7.00,3.25,5.16,,,,
52001397,7.60,7.50,9.40,,,,,6.00,8.25,7.00,7.08
52001398,6.40,7.75,6.60,6.00,3.50,6.00,5.16,,,,
52001399,3.20,5.25,3.20,,,,,3.75,5.00,6.50,5.08
52001400,7.60,8.25,7.40,7.25,7.75,6.75,7.25,,,,
52001401,8.20,4.50,9.20,7.50,2.75,3.00,4.41,,,,
52001402,5.20,7.50,7.80,,,,,3.00,7.50,8.50,6.33
52001403,8.60,7.25,7.40,7.25,8.00,6.50,7.25,,,,
52001404,8.40,7.00,9.00,7.00,6.75,7.25,7.00,,,,
52001405,8.60,7.25,8.80,5.25,8.50,5.00,6.25,,,,
52001406,7.20,6.50,8.80,6.50,5.25,5.25,5.66,,,,
52001407,8.80,7.25,9.20,7.25,8.00,6.00,7.08,,,,
52001408,8.00,8.25,7.60,5.75,7.25,6.50,6.50,,,,
52001409,8.80,6.50,8.60,8.25,7.00,7.25,7.50,,,,
52001410,8.60,7.75,9.00,8.00,7.75,7.75,7.83,,,,
52001411,8.80,7.50,10.00,8.25,7.25,7.50,7.66,,,,
52001412,7.40,6.75,9.20,7.50,5.50,5.50,6.16,,,,
52001413,7.80,7.00,9.20,6.00,8.00,3.00,5.66,,,,
52001414,8.80,6.50,,8.50,6.75,4.25,6.50,,,,
52001415,6.20,6.50,7.80,,,,,5.25,6.25,7.75,6.41
52001416,8.00,8.00,8.40,7.75,8.50,6.00,7.41,,,,
52001417,8.00,7.25,9.40,8.00,5.75,7.50,7.08,,,,
52001418,8.60,7.00,8.20,8.50,7.50,5.25,7.08,,,,
52001419,8.00,7.50,7.40,6.50,8.25,5.50,6.75,,,,
52001420,8.80,7.50,8.00,7.50,8.25,6.50,7.41,,,,
52001421,7.00,8.75,9.00,,,,,9.00,8.75,9.75,9.16
52001422,8.80,7.75,9.40,7.25,8.50,6.75,7.50,,,,
52001423,8.60,7.50,9.00,8.25,9.25,7.50,8.33,,,,
52001424,8.60,8.00,9.00,8.50,7.00,5.00,6.83,,,,
52001425,7.20,7.75,7.80,,,,,7.00,7.25,9.50,7.91
52001426,7.80,8.00,9.40,,,,,7.75,8.25,9.50,8.50
52001427,7.20,6.50,8.60,,,,,5.25,7.25,9.00,7.16
52001428,8.00,8.25,9.40,4.75,6.50,6.25,5.83,,,,
52001429,8.60,7.00,9.60,7.75,8.50,5.25,7.16,,,,
52001430,7.60,8.00,9.00,7.50,6.50,6.25,6.75,,,,
52001431,7.60,8.00,8.80,6.25,6.50,4.75,5.83,,,,
52001432,7.60,7.00,9.40,,,,,5.50,6.25,9.00,6.91
52001433,7.80,8.00,8.80,,,,,8.25,8.50,10.00,8.91
52001434,8.60,7.50,8.20,8.25,8.25,6.75,7.75,,,,
52001435,7.40,8.25,9.80,5.00,5.00,6.00,5.33,,,,
52001436,7.60,7.25,7.20,6.00,6.50,4.50,5.66,,,,
52001437,7.80,8.25,9.00,,,,,8.50,8.75,9.75,9.00
52001438,6.40,6.50,5.60,,,,,4.25,5.75,8.50,6.16
52001439,9.00,8.25,7.60,7.50,7.75,6.50,7.25,,,,
52001440,7.80,7.25,8.80,7.50,8.00,6.25,7.25,,,,
52001441,7.80,7.50,8.60,,,,,6.75,6.75,8.75,7.41
52001442,8.20,7.50,8.20,5.25,7.50,6.50,6.41,,,,
52001443,7.00,6.75,6.20,5.50,4.50,4.50,4.83,,,,
52001444,9.20,6.75,,7.50,9.75,5.50,7.58,,,,
52001445,8.80,6.75,7.60,8.50,8.50,5.50,7.50,,,,
52001446,8.40,8.25,9.40,6.75,8.00,6.75,7.16,,,,
52001447,8.40,7.00,9.00,8.25,8.00,5.25,7.16,,,,
52001448,7.60,7.50,9.40,6.25,8.00,4.50,6.25,,,,
52001449,8.00,8.25,9.40,6.25,8.25,5.50,6.66,,,,
52001450,8.60,6.50,8.60,6.75,7.75,4.00,6.16,,,,
52001451,7.60,5.50,9.80,8.00,6.25,6.50,6.91,,,,
52001452,7.40,8.00,8.20,6.50,8.25,7.75,7.50,,,,
52001453,8.20,7.00,9.80,8.25,5.75,6.00,6.66,,,,
52001454,8.80,6.75,7.20,6.00,6.50,4.25,5.58,,,,
52001455,8.40,6.50,9.20,7.75,6.50,4.75,6.33,,,,
52001456,8.60,6.00,9.20,7.00,6.50,5.50,6.33,,,,
52001457,5.20,5.75,3.40,,,,,4.50,7.00,9.00,6.83
52001458,9.00,7.25,9.60,9.00,8.00,8.25,8.41,,,,
52001459,7.20,8.00,8.60,5.75,6.75,4.50,5.66,,,,
52001460,8.40,8.50,8.40,7.25,5.75,5.00,6.00,,,,
52001461,6.80,8.50,8.60,,,,,4.75,8.00,8.75,7.16
52001462,6.40,8.25,7.80,,,,,4.75,8.25,9.25,7.41
52001463,8.60,7.75,9.20,8.00,4.25,2.75,5.00,,,,
52001464,8.80,8.00,9.00,7.50,8.00,5.50,7.00,,,,
52001465,8.20,7.75,9.20,,,,,7.50,8.50,9.25,8.41
52001466,6.60,8.50,9.80,,,,,6.75,9.25,9.75,8.58
52001467,8.20,8.00,8.80,5.75,8.00,6.50,6.75,,,,
52001468,7.60,7.25,7.40,5.50,8.25,5.25,6.33,,,,
52001469,8.40,8.00,8.80,,,,,6.75,7.50,9.50,7.91
52001470,8.00,6.50,,6.00,4.50,4.00,4.83,,,,
52001471,8.20,7.25,9.40,8.50,8.25,6.25,7.66,,,,
52001472,9.20,7.50,9.20,8.50,8.75,6.75,8.00,,,,
52001473,8.80,7.75,8.80,7.50,5.75,5.25,6.16,,,,
52001474,8.60,8.00,9.00,8.25,7.75,7.00,7.66,,,,
52001475,6.40,8.00,7.40,6.00,4.75,5.50,5.41,,,,
52001476,8.80,8.75,8.80,7.25,7.75,6.75,7.25,,,,
52001477,8.60,9.00,8.80,8.00,6.50,6.00,6.83,,,,
52001478,8.60,8.25,9.20,,,,,6.75,7.25,8.75,7.58
52001479,7.20,8.00,8.20,8.00,9.00,4.75,7.25,,,,
52001480,8.20,8.25,9.80,,,,,5.75,7.75,9.25,7.58
52001481,7.20,6.50,9.40,6.25,7.00,6.00,6.41,,,,
52001482,9.00,8.50,9.00,7.75,8.50,10.00,8.75,,,,
52001483,8.00,8.00,,7.25,8.75,7.50,7.83,,,,
52001484,9.20,8.00,9.60,7.00,6.00,2.25,5.08,,,,
52001485,8.00,8.25,9.40,,,,,7.25,6.25,8.75,7.41
52001486,8.80,7.50,9.00,8.50,5.50,5.75,6.58,,,,
52001487,8.60,7.25,8.80,5.00,6.75,5.50,5.75,,,,
52001488,5.00,7.50,3.60,,,,,6.75,7.75,9.75,8.08
52001489,8.40,8.25,9.40,5.25,6.75,3.75,5.25,,,,
52001490,8.60,7.25,9.00,7.25,5.00,4.50,5.58,,,,
52001491,8.20,7.75,9.80,6.25,7.75,4.50,6.16,,,,
52001492,8.80,8.00,9.00,,,,,8.25,8.75,10.00,9.00
52001493,7.60,8.50,7.80,,,,,6.25,6.50,8.50,7.08
52001494,8.00,9.00,8.80,,,,,5.00,8.75,9.25,7.66
52001495,8.20,8.50,9.80,7.75,8.25,6.50,7.50,,,,
52001496,7.40,7.50,9.40,6.75,4.00,3.50,4.75,,,,
52001497,8.40,7.50,8.60,7.25,5.75,5.25,6.08,,,,
52001498,8.40,8.00,9.40,8.50,6.25,6.00,6.91,,,,
52001499,7.80,7.00,7.20,7.75,6.25,5.00,6.33,,,,
52001500,8.00,8.25,9.40,7.00,7.50,5.25,6.58,,,,
52001501,8.40,6.75,9.00,7.50,8.00,9.75,8.41,,,,
52001502,6.80,7.25,6.80,5.50,7.50,5.50,6.16,,,,
52001503,7.80,7.25,8.60,8.25,8.25,8.00,8.16,,,,
52001504,7.00,6.50,7.80,6.50,6.00,4.00,5.50,,,,
52001505,7.80,8.50,7.20,7.50,7.25,6.25,7.00,,,,
52001506,8.60,7.50,9.80,7.75,8.50,7.25,7.83,,,,
52001507,8.60,8.00,7.20,7.00,8.25,6.50,7.25,,,,
52001508,6.80,8.75,9.20,,,,,6.00,7.50,9.75,7.75
52001509,8.60,8.50,8.20,,,,,5.75,7.25,8.50,7.16
52001510,7.00,8.50,9.60,,,,,4.50,8.50,8.75,7.25
52001511,7.40,7.75,7.20,6.75,6.50,5.00,6.08,,,,
52001513,8.60,8.50,9.20,7.25,7.00,5.75,6.66,,,,
52001514,9.00,8.25,9.40,7.75,6.00,5.25,6.33,,,,
52001515,8.40,9.25,8.80,7.00,6.50,7.25,6.91,,,,
52001516,7.80,8.00,7.40,,,,,7.75,8.25,9.50,8.50
52001517,4.00,4.25,3.40,,,,,3.50,6.75,8.25,6.16
52001518,9.00,7.75,8.60,4.25,8.75,7.50,6.83,,,,
52001519,7.20,8.00,8.60,5.00,6.75,7.00,6.25,,,,
52001520,8.00,7.75,9.80,,,,,9.00,7.00,9.50,8.50
52001521,8.20,8.25,8.80,9.00,7.25,6.00,7.41,,,,
52001522,8.00,9.00,6.00,,,,,7.00,7.25,9.50,7.91
52001523,6.20,7.75,7.20,6.50,4.00,3.75,4.75,,,,
52001524,8.60,7.50,10.00,6.50,7.50,5.25,6.41,,,,
52001525,7.60,7.50,9.20,7.25,7.50,5.75,6.83,,,,
52001526,8.80,8.25,9.40,9.00,8.25,5.25,7.50,,,,
52001527,8.80,8.00,9.40,7.25,3.25,4.25,4.91,,,,
52001528,8.40,8.75,9.40,8.75,8.00,6.00,7.58,,,,
52001529,8.40,8.25,7.60,5.00,8.50,9.50,7.66,,,,
52001530,8.00,8.00,8.60,8.50,5.75,6.50,6.91,,,,
52001531,7.60,8.25,8.00,7.50,7.75,5.75,7.00,,,,
52001532,8.20,5.50,8.80,7.25,5.75,3.75,5.58,,,,
52001533,7.60,8.00,8.80,5.50,5.75,7.25,6.16,,,,
52001534,8.20,8.00,9.60,8.75,8.00,6.00,7.58,,,,
52001535,8.60,8.00,9.40,7.00,7.75,8.25,7.66,,,,
52001536,7.40,8.00,5.00,3.50,6.50,8.50,6.16,,,,
52001537,8.00,7.00,9.20,6.50,7.00,5.50,6.33,,,,
52001538,8.80,7.00,9.60,8.00,5.50,7.50,7.00,,,,
52001539,7.80,8.00,7.20,7.00,8.00,4.75,6.58,,,,
52001540,8.00,7.75,9.60,8.00,6.50,4.50,6.33,,,,
52001541,8.20,8.00,9.60,6.00,8.25,4.50,6.25,,,,
52001542,7.80,8.25,7.00,4.75,7.75,8.25,6.91,,,,
52001543,5.40,7.50,7.60,,,,,4.25,8.00,9.25,7.16
52001544,7.40,7.25,8.60,8.00,7.50,5.25,6.91,,,,
52001545,8.60,8.00,9.20,8.50,5.75,6.50,6.91,,,,
52001546,7.60,7.50,6.60,6.25,5.50,6.25,6.00,,,,
52001547,7.80,8.50,9.80,5.75,7.00,7.25,6.66,,,,
52001548,8.60,8.25,9.00,7.25,6.50,5.75,6.50,,,,
52001549,8.80,7.75,7.20,7.25,8.25,5.50,7.00,,,,
52001550,8.00,6.50,8.80,7.00,7.00,6.00,6.66,,,,
52001551,8.20,7.50,8.80,5.75,7.75,5.25,6.25,,,,
52001552,8.20,8.00,8.20,,,,,7.75,8.50,8.75,8.33
52001553,7.40,7.50,8.80,,,,,4.75,6.75,9.75,7.08
52001554,6.60,8.00,7.80,,,,,5.50,7.00,8.75,7.08
52001555,6.60,7.50,9.00,3.75,7.25,5.50,5.50,,,,
52001556,7.60,7.75,8.20,5.00,7.00,6.00,6.00,,,,
52001557,7.00,8.00,9.00,,,,,8.00,9.50,9.50,9.00
52001558,8.80,8.00,8.20,7.50,9.25,5.50,7.41,,,,
52001559,7.00,8.25,5.60,7.75,7.75,4.25,6.58,,,,
52001560,7.40,9.25,9.40,,,,,6.25,8.00,9.50,7.91
52001561,8.00,8.75,9.00,5.75,4.50,4.50,4.91,,,,
52001562,7.80,7.75,9.60,7.50,7.25,6.00,6.91,,,,
52001563,7.40,8.75,9.60,5.75,4.75,6.00,5.50,,,,
52001564,8.40,7.50,9.40,6.75,4.50,4.00,5.08,,,,
52001565,8.00,7.75,9.00,6.75,8.00,7.00,7.25,,,,
52001566,9.00,7.50,9.40,8.00,8.75,7.00,7.91,,,,
52001567,8.60,7.75,9.80,5.50,8.50,6.75,6.91,,,,
52001568,5.40,7.25,3.40,,,,,3.75,5.75,9.00,6.16
52001569,8.20,7.00,8.00,7.00,7.50,5.25,6.58,,,,
52001570,8.00,7.50,8.20,6.00,7.75,5.75,6.50,,,,
52001571,8.00,7.25,8.00,5.50,6.00,5.50,5.66,,,,
52001572,7.80,7.00,9.00,6.00,3.75,6.75,5.50,,,,
52001573,8.00,6.75,8.40,,,,,4.75,6.25,9.50,6.83
52001574,7.40,7.25,9.00,6.75,5.75,4.75,5.75,,,,
52001575,9.20,7.25,9.20,8.25,5.00,5.75,6.33,,,,
52001576,7.80,6.75,9.00,7.00,4.50,5.25,5.58,,,,
52001577,8.40,8.25,9.20,8.50,7.00,5.25,6.91,,,,
52001578,6.60,7.50,8.80,5.75,7.00,7.25,6.66,,,,
52001579,7.80,7.50,9.00,,,,,6.75,7.00,9.75,7.83
52001580,9.00,7.75,9.40,9.00,8.00,6.50,7.83,,,,
52001581,9.00,7.50,9.80,9.25,6.25,6.75,7.41,,,,
52001582,7.60,7.75,9.80,6.25,7.00,4.25,5.83,,,,
52001583,8.60,7.00,9.20,8.00,8.00,7.00,7.66,,,,
52001584,7.00,6.75,8.80,6.00,5.50,4.00,5.16,,,,
52001585,8.20,9.00,9.60,,,,,5.25,7.50,9.00,7.25
52001586,7.00,8.50,9.80,,,,,8.25,8.00,9.75,8.66
52001587,8.00,8.00,7.20,8.25,7.75,7.75,7.91,,,,
52001588,8.00,7.00,9.00,5.25,5.50,3.00,4.58,,,,
52001589,7.60,8.75,8.80,,,,,9.00,8.75,9.50,9.08
52001590,8.20,7.50,9.40,,,,,7.50,7.50,8.25,7.75
52001591,7.40,8.75,9.40,5.00,4.25,5.25,4.83,,,,
52001592,7.80,7.00,7.40,6.00,5.25,6.00,5.75,,,,
52001593,7.60,8.50,9.20,7.50,7.25,6.75,7.16,,,,
52001594,7.60,7.50,9.60,7.75,8.25,7.00,7.66,,,,
52001595,7.60,7.50,8.80,6.00,6.75,4.75,5.83,,,,
52001596,6.80,6.00,9.00,6.75,7.50,5.00,6.41,,,,
52001597,8.80,7.25,9.20,7.50,7.50,6.75,7.25,,,,
52001598,8.60,7.50,9.60,8.25,7.50,7.00,7.58,,,,
52001599,8.80,7.50,9.80,7.75,7.25,7.25,7.41,,,,
52001600,8.40,6.50,9.00,7.75,7.00,6.25,7.00,,,,
52001601,8.60,9.25,9.20,,,,,7.75,8.00,9.25,8.33
52001602,8.00,8.25,8.00,6.25,6.75,5.25,6.08,,,,
52001603,7.60,9.00,8.60,5.75,7.75,5.25,6.25,,,,
52001604,7.20,8.50,7.40,7.25,8.00,8.25,7.83,,,,
52001605,8.20,7.75,6.40,8.50,7.25,6.25,7.33,,,,
52001606,7.80,7.75,6.20,,,,,5.25,6.75,10.00,7.33
52001607,5.00,4.75,3.20,,,,,2.00,6.25,7.25,5.16
52001608,8.20,8.00,9.40,7.50,8.25,7.00,7.58,,,,
52001609,7.40,8.28,7.80,,,,,4.00,5.75,9.00,6.25
52001610,8.40,7.75,8.60,7.50,8.75,5.25,7.16,,,,
52001611,7.60,7.25,8.60,5.00,8.00,6.75,6.58,,,,
52001612,7.40,7.50,8.60,,,,,3.25,5.75,8.00,5.66
52001613,7.20,8.00,9.20,5.50,7.75,5.75,6.33,,,,
52001614,8.20,7.25,9.20,6.25,7.00,6.00,6.41,,,,
52001615,8.20,7.00,8.20,7.00,6.75,5.25,6.33,,,,
52001616,8.60,7.50,9.00,7.50,6.25,6.75,6.83,,,,
52001617,9.20,7.75,9.20,8.75,7.00,7.00,7.58,,,,
52001618,8.40,7.50,9.40,8.50,7.50,7.75,7.91,,,,
52001620,7.20,6.50,8.40,7.00,4.25,5.75,5.66,,,,
52001621,8.20,7.75,8.00,7.75,7.75,4.00,6.50,,,,
52001622,8.60,8.00,9.60,,,,,7.50,10.00,9.75,9.08
52001623,8.20,7.75,8.20,8.50,8.00,6.00,7.50,,,,
52001624,9.60,7.75,9.20,9.00,7.75,7.00,7.91,,,,
52001625,7.20,7.25,7.80,5.00,7.75,8.50,7.08,,,,
52001626,7.00,7.25,9.60,7.00,5.25,7.00,6.41,,,,
52001627,8.40,7.50,7.20,6.25,7.25,5.50,6.33,,,,
52001628,7.40,8.00,9.40,,,,,5.25,6.50,9.00,6.91
52001629,4.40,7.00,5.00,,,,,3.25,6.00,7.00,5.41
52001630,8.60,8.50,9.20,,,,,8.00,8.50,9.75,8.75
52001631,6.60,8.75,7.40,,,,,3.50,6.75,9.25,6.50
52001632,9.20,8.00,7.80,5.00,7.50,8.75,7.08,,,,
52001633,8.80,9.00,9.40,7.50,8.00,6.50,7.33,,,,
52001634,9.00,7.50,9.40,8.50,6.25,6.00,6.91,,,,
52001635,9.00,7.50,9.20,8.50,8.50,4.75,7.25,,,,
52001636,8.40,6.25,8.60,6.75,8.00,5.25,6.66,,,,
52001637,8.20,6.25,,3.25,8.00,8.50,6.58,,,,
52001638,8.00,7.25,9.00,6.25,5.50,3.50,5.08,,,,
52001639,9.40,7.25,7.80,8.25,7.75,6.25,7.41,,,,
52001640,8.60,6.25,8.40,6.75,9.00,10.00,8.58,,,,
52001641,7.60,6.75,9.40,6.00,4.25,5.50,5.25,,,,
52001642,5.20,6.50,6.40,,,,,5.50,6.00,8.75,6.75
52001643,9.20,7.50,8.20,8.25,8.25,4.25,6.91,,,,
52001644,8.00,7.25,6.40,8.00,8.25,5.00,7.08,,,,
52001645,7.80,8.00,9.40,7.25,6.50,6.25,6.66,,,,
52001646,7.20,7.75,6.80,7.75,6.75,5.25,6.58,,,,
52001647,8.00,7.50,8.20,,,,,6.00,7.25,9.00,7.41
52001648,7.80,6.25,8.20,8.25,3.25,3.50,5.00,,,,
52001649,7.00,7.75,10.00,6.75,5.75,5.75,6.08,,,,
52001650,8.40,7.50,,5.75,6.75,5.50,6.00,,,,
52001651,7.60,7.25,9.80,,,,,5.75,8.00,8.75,7.50
52001652,9.40,6.00,10.00,6.25,7.00,5.75,6.33,,,,
52001653,8.60,6.25,9.40,5.75,7.00,4.75,5.83,,,,
52001654,8.40,6.25,9.40,7.75,7.00,5.25,6.66,,,,
52001655,7.00,6.00,9.20,4.00,4.00,6.25,4.75,,,,
52001656,8.60,5.00,9.00,7.50,5.50,5.50,6.16,,,,
52001657,8.20,7.00,9.40,7.50,6.25,6.25,6.66,,,,
52001658,9.00,8.00,9.60,8.25,8.00,6.50,7.58,,,,
52001659,8.20,7.75,8.60,7.00,4.50,4.50,5.33,,,,
52001660,6.80,7.75,7.20,,,,,3.75,6.25,9.00,6.33
52001661,8.20,7.50,6.60,,,,,5.00,7.50,9.75,7.41
52001662,8.80,7.75,9.40,,,,,9.25,8.25,9.00,8.83
52001663,8.20,7.25,9.00,8.25,8.25,7.75,8.08,,,,
52001664,8.60,7.50,7.80,7.50,8.50,5.50,7.16,,,,
52001665,7.00,8.00,7.00,,,,,5.00,7.50,9.75,7.41
52001666,8.80,7.50,,8.00,8.00,7.75,7.91,,,,
52001667,7.60,7.75,9.60,,,,,7.25,7.50,9.00,7.91
52001668,8.40,7.75,8.60,7.00,6.00,5.25,6.08,,,,
52001669,8.20,8.25,9.00,7.25,8.25,6.00,7.16,,,,
52001670,8.20,8.75,9.40,7.50,5.75,5.25,6.16,,,,
52001671,7.60,6.75,9.00,9.00,4.75,4.00,5.91,,,,
52001672,7.60,8.00,8.20,,,,,8.50,8.25,9.75,8.83
52001673,7.00,7.75,8.20,5.00,6.50,7.50,6.33,,,,
52001674,8.60,7.25,9.40,8.00,7.75,6.50,7.41,,,,
52001675,3.60,4.75,2.60,,,,,3.75,6.50,9.25,6.50
52001676,8.00,7.00,8.80,,,,,5.00,8.25,8.75,7.33
52001677,7.60,7.50,9.60,,,,,7.00,7.75,8.75,7.83
52001678,8.40,7.50,9.20,6.25,7.75,5.00,6.33,,,,
52001679,8.20,7.50,7.80,7.25,7.75,6.75,7.25,,,,
52001680,8.00,7.00,8.60,7.75,6.50,5.00,6.41,,,,
52001681,8.20,8.00,8.60,6.00,6.75,5.50,6.08,,,,
52001682,7.40,7.50,9.40,7.00,8.00,6.25,7.08,,,,
52001683,8.60,7.75,8.40,7.25,7.00,7.25,7.16,,,,
52001684,8.20,7.75,9.60,6.25,8.00,6.00,6.75,,,,
52001685,7.60,8.00,8.80,7.00,7.75,5.50,6.75,,,,
52001686,7.80,7.00,7.40,6.00,8.00,5.75,6.58,,,,
52001687,9.20,7.75,7.80,8.25,8.75,5.50,7.50,,,,
52001688,8.80,8.00,9.40,9.00,7.50,7.50,8.00,,,,
52001689,7.80,8.25,9.60,8.50,4.00,5.25,5.91,,,,
52001690,8.40,8.00,9.60,8.00,5.50,7.25,6.91,,,,
52001691,8.60,8.50,9.20,7.75,7.25,5.00,6.66,,,,
52001692,7.40,7.66,8.80,6.75,6.00,6.00,6.25,,,,
52001693,9.00,7.50,8.00,8.50,7.50,7.50,7.83,,,,
52001694,7.80,7.00,9.40,7.25,7.50,5.75,6.83,,,,
52001695,9.00,8.00,8.80,7.50,6.75,5.50,6.58,,,,
52001696,8.40,8.50,9.20,,,,,6.00,8.00,9.50,7.83
52001697,8.80,8.75,,7.50,7.00,7.50,7.33,,,,
52001698,7.60,9.00,8.80,8.00,6.00,8.00,7.33,,,,
52001699,8.20,8.50,,6.50,7.50,5.75,6.58,,,,
52001700,7.80,7.75,8.60,6.50,8.25,8.25,7.66,,,,
52001701,7.40,8.25,8.60,6.25,6.25,6.00,6.16,,,,
52001702,7.80,7.50,8.80,5.50,8.00,7.00,6.83,,,,
52001703,9.20,8.25,9.20,6.50,8.00,5.25,6.58,,,,
52001704,7.80,8.75,9.00,8.00,8.00,7.00,7.66,,,,
52001705,9.00,8.50,9.40,8.25,7.75,6.50,7.50,,,,
52001706,8.00,8.75,9.00,,,,,7.75,7.75,9.00,8.16
52001707,6.20,7.75,7.40,,,,,5.00,7.25,9.75,7.33
52001708,7.40,9.00,9.40,,,,,5.50,8.00,9.25,7.58
52001709,8.40,8.75,9.40,,,,,5.50,7.50,8.50,7.16
52001710,7.80,8.00,9.60,6.50,6.25,7.25,6.66,,,,
52001711,7.60,9.25,9.00,,,,,5.25,7.75,8.75,7.25
52001712,6.80,9.00,8.80,,,,,4.50,6.25,8.25,6.33
52001713,8.80,8.75,9.60,6.75,7.50,6.75,7.00,,,,
52001714,8.00,7.50,8.80,7.50,7.00,4.00,6.16,,,,
52001715,7.00,6.50,3.00,,,,,3.25,6.75,8.50,6.16
52001716,7.20,7.50,9.00,,,,,6.00,7.00,9.75,7.58
52001717,7.40,7.00,8.60,6.75,7.75,5.50,6.66,,,,
52001718,8.00,8.00,9.40,6.00,7.00,5.25,6.08,,,,
52001719,8.00,8.25,8.40,7.75,7.50,4.75,6.66,,,,
52001720,6.00,6.25,6.20,5.00,6.50,3.50,5.00,,,,
52001721,8.20,7.50,7.80,8.00,7.25,3.75,6.33,,,,
52001722,7.60,8.00,8.80,,,,,6.75,7.50,9.75,8.00
52001723,7.60,7.75,8.80,6.25,5.50,7.50,6.41,,,,
52001724,7.00,7.50,9.40,,,,,5.75,8.25,9.25,7.75
52001725,6.80,8.25,8.80,,,,,4.00,6.50,9.50,6.66
52001726,6.60,8.75,8.40,,,,,6.75,7.00,9.25,7.66
52001727,8.00,7.25,6.20,,,,,4.50,7.25,9.25,7.00
52001728,6.00,8.00,7.40,,,,,3.75,6.25,8.75,6.25
52001729,5.40,7.75,7.20,,,,,3.50,8.00,8.75,6.75
52001730,6.00,6.25,5.80,,,,,3.00,6.25,8.00,5.75
52001731,8.20,7.50,9.00,,,,,5.25,8.25,9.50,7.66
52001732,7.00,8.25,8.40,,,,,6.00,5.75,8.00,6.58
52001733,8.80,7.00,8.20,8.50,7.50,6.00,7.33,,,,
52001734,7.40,7.75,8.60,,,,,4.25,6.00,8.00,6.08
52001735,5.80,7.50,4.20,5.25,4.50,4.50,4.75,,,,
52001736,9.00,8.00,9.80,,,,,8.75,7.75,8.50,8.33
52001737,5.20,7.25,8.40,,,,,4.75,6.75,8.00,6.50
52001738,7.60,6.25,6.80,6.00,5.75,5.25,5.66,,,,
52001739,7.40,7.00,6.60,6.25,8.50,5.50,6.75,,,,
52001740,7.00,8.00,9.00,,,,,6.50,7.25,8.50,7.41
52001741,7.40,6.75,10.00,3.75,4.25,4.00,4.00,,,,
52001742,6.60,7.25,8.80,7.75,5.50,5.25,6.16,,,,
52001743,8.80,7.00,8.20,7.75,3.25,3.75,4.91,,,,
52001744,7.40,8.00,8.60,,,,,7.00,8.75,9.75,8.50
52001745,7.80,8.25,9.20,,,,,5.50,7.00,7.75,6.75
52001746,6.40,7.50,7.80,6.75,4.75,5.50,5.66,,,,
52001747,7.00,6.75,8.80,6.25,5.25,5.50,5.66,,,,
52001748,8.60,8.00,9.60,,,,,7.00,9.50,9.75,8.75
52001749,7.60,7.75,8.40,,,,,5.75,7.50,9.50,7.58
52001750,9.20,6.75,9.40,9.00,6.50,5.25,6.91,,,,
52001751,5.20,6.75,7.00,,,,,3.00,6.00,9.25,6.08
52001752,7.40,7.75,8.00,5.50,5.25,3.00,4.58,,,,
52001753,7.00,8.25,5.80,,,,,3.00,7.25,7.75,6.00
52001754,8.00,7.00,9.40,7.50,4.75,4.00,5.41,,,,
52001755,3.60,6.25,6.20,,,,,1.75,5.00,4.00,3.58
52001756,8.00,7.00,7.80,4.75,6.00,5.25,5.33,,,,
52001757,7.40,7.75,5.80,,,,,5.50,9.00,8.50,7.66
52001758,8.40,8.75,9.80,,,,,8.50,8.75,9.50,8.91
52001759,8.40,7.25,8.00,6.25,8.75,8.50,7.83,,,,
52001760,7.40,7.75,7.40,5.25,6.75,5.50,5.83,,,,
52001761,8.40,8.00,8.60,,,,,4.75,6.75,8.75,6.75
52001762,5.40,5.50,8.00,6.75,6.50,4.50,5.91,,,,
52001763,7.20,8.00,7.60,6.00,4.75,4.00,4.91,,,,
52001764,8.20,8.00,7.60,7.50,7.50,4.25,6.41,,,,
52001765,8.80,8.00,9.20,7.25,8.00,8.25,7.83,,,,
52001766,6.40,8.00,8.80,,,,,6.25,7.50,9.50,7.75
52001767,7.00,6.75,7.80,5.75,4.25,4.00,4.66,,,,
52001768,8.00,8.50,9.20,,,,,8.75,9.50,9.75,9.33
52001769,7.80,6.25,5.00,6.50,7.00,4.25,5.91,,,,
52001770,8.00,8.00,7.00,6.00,8.25,6.50,6.91,,,,
52001771,6.40,4.00,3.60,,,,,2.75,5.25,2.75,3.58
52001772,7.20,7.50,7.60,6.00,7.50,4.75,6.08,,,,
52001773,7.40,7.50,8.60,,,,,6.25,6.75,8.50,7.16
52001774,6.00,7.25,3.80,3.75,4.50,3.25,3.83,,,,
52001775,6.00,6.25,5.00,1.75,4.50,4.25,3.50,,,,
52001776,5.40,8.50,8.80,,,,,5.75,6.50,9.00,7.08
52001777,8.00,8.25,9.40,,,,,6.75,8.50,9.75,8.33
52001778,6.40,8.00,5.80,,,,,7.25,8.50,8.25,8.00
52001779,6.80,6.50,2.80,,,,,3.25,6.00,5.75,5.00
52001780,5.80,8.00,3.60,,,,,3.75,7.50,8.75,6.66
52001781,7.80,8.25,9.00,7.25,7.25,6.50,7.00,,,,
