SBD,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,KHTN,Lịch sử,Địa lý,GDCD,KHXH
52001107,8.40,7.00,9.20,8.00,8.75,5.75,7.50,,,,
52001108,3.80,6.75,3.20,,,,,5.25,8.50,9.25,7.66
52001109,7.00,7.75,7.40,6.50,7.75,6.50,6.91,,,,
52001110,8.80,5.00,9.00,6.25,8.00,4.25,6.16,,,,
52001111,6.00,7.00,6.20,,,,,6.25,8.25,8.00,7.50
52001112,8.60,7.00,9.40,7.75,7.00,6.00,6.91,,,,
52001113,8.60,6.50,7.40,8.25,8.25,4.75,7.08,,,,
52001114,8.20,6.25,9.80,8.00,6.50,5.25,6.58,,,,
52001115,9.40,7.00,7.80,7.75,8.25,4.00,6.66,,,,
52001116,7.80,7.50,9.20,6.75,8.00,5.00,6.58,,,,
52001117,7.80,7.25,9.40,8.50,6.00,5.75,6.75,,,,
52001118,9.20,7.25,9.80,7.75,4.75,7.00,6.50,,,,
52001119,9.20,8.75,9.80,8.75,7.50,6.25,7.50,,,,
52001120,8.60,7.75,9.20,7.50,7.75,5.50,6.91,,,,
52001121,8.80,8.00,9.20,7.50,6.25,4.75,6.16,,,,
52001122,9.00,8.50,9.40,7.50,6.50,6.00,6.66,,,,
52001123,7.80,8.00,8.60,7.25,6.00,4.75,6.00,,,,
52001124,7.80,9.00,8.60,5.25,4.50,6.75,5.50,,,,
52001125,9.20,9.00,9.60,,,,,9.00,8.75,9.75,9.16
52001126,7.00,8.00,,4.50,8.25,4.25,5.66,,,,
52001127,7.80,8.25,9.20,7.75,6.75,6.50,7.00,,,,
52001128,7.80,8.75,8.60,7.75,7.25,5.25,6.75,,,,
52001129,7.20,8.00,9.60,6.50,6.25,4.25,5.66,,,,
52001130,8.00,7.50,9.40,6.25,7.00,6.25,6.50,,,,
52001131,7.80,7.00,8.80,,,,,5.50,7.25,8.75,7.16
52001132,7.80,6.41,7.00,7.00,7.00,5.50,6.50,,,,
52001133,8.20,6.75,8.80,7.25,7.50,6.25,7.00,,,,
52001134,7.40,7.75,8.60,6.50,5.00,5.00,5.50,,,,
52001135,8.60,7.50,8.80,7.00,5.00,5.75,5.91,,,,
52001136,8.20,7.25,9.80,6.75,7.00,4.00,5.91,,,,
52001137,7.00,8.25,9.20,8.00,5.25,5.75,6.33,,,,
52001138,8.00,8.00,8.40,,,,,5.50,7.50,9.50,7.50
52001139,7.60,8.00,8.20,,,,,4.25,7.25,8.50,6.66
52001140,6.80,6.75,6.40,,,,,3.25,5.50,8.50,5.75
52001141,9.00,7.50,9.40,8.25,8.25,7.50,8.00,,,,
52001142,8.20,8.00,9.60,6.25,5.75,5.50,5.83,,,,
52001143,8.20,6.75,9.00,7.25,8.25,5.75,7.08,,,,
52001144,8.20,8.00,7.80,8.00,7.50,8.00,7.83,,,,
52001145,9.20,8.00,9.00,7.75,6.25,6.00,6.66,,,,
52001146,8.60,8.25,9.40,,,,,7.25,8.00,9.75,8.33
52001147,7.80,7.25,10.00,8.50,6.00,6.00,6.83,,,,
52001148,7.80,6.50,7.80,6.25,5.75,3.75,5.25,,,,
52001149,7.80,6.00,9.20,6.50,6.25,4.00,5.58,,,,
52001150,8.60,6.50,9.20,7.25,6.75,4.00,6.00,,,,
52001151,8.00,8.50,8.20,6.25,7.50,5.25,6.33,,,,
52001152,8.20,8.50,8.60,6.00,5.25,4.25,5.16,,,,
52001153,7.80,6.50,8.40,3.75,8.50,7.75,6.66,,,,
52001154,8.20,8.75,,6.00,8.50,7.25,7.25,,,,
52001155,8.80,8.50,9.40,7.75,9.00,10.00,8.91,,,,
52001156,7.00,7.50,8.40,,,,,6.75,6.75,9.00,7.50
52001157,8.60,7.50,9.20,8.25,8.50,6.75,7.83,,,,
52001158,8.60,7.50,8.80,7.25,8.50,7.00,7.58,,,,
52001159,8.00,8.25,9.20,8.75,8.75,8.00,8.50,,,,
52001160,8.00,6.75,9.40,7.75,5.75,5.50,6.33,,,,
52001161,8.40,7.00,6.40,8.50,5.00,4.25,5.91,,,,
52001162,7.60,7.25,7.20,6.75,8.50,4.50,6.58,,,,
52001163,7.40,7.25,8.60,5.00,7.50,5.75,6.08,,,,
52001164,7.80,6.75,9.20,7.25,8.00,5.50,6.91,,,,
52001165,5.40,6.50,4.60,,,,,2.25,6.00,8.00,5.41
52001166,8.80,7.00,9.80,6.75,5.00,7.00,6.25,,,,
52001167,8.80,6.75,9.80,8.25,6.25,4.75,6.41,,,,
52001168,8.40,6.50,8.60,7.00,6.50,5.25,6.25,,,,
52001169,7.60,7.25,8.80,6.50,7.00,7.25,6.91,,,,
52001170,8.00,6.50,7.60,5.75,3.25,5.00,4.66,,,,
52001171,8.00,7.50,8.20,6.25,6.00,4.50,5.58,,,,
52001172,8.20,7.25,,7.75,8.50,9.50,8.58,,,,
52001173,8.60,7.25,8.60,6.75,8.50,5.75,7.00,,,,
52001174,8.60,7.25,9.80,8.50,7.75,7.50,7.91,,,,
52001175,8.20,7.75,9.00,,,,,7.00,7.50,9.50,8.00
52001176,6.60,6.00,8.20,7.00,7.25,5.75,6.66,,,,
52001177,5.80,5.25,8.60,4.00,5.25,4.00,4.41,,,,
52001178,8.20,7.00,8.80,7.75,6.75,5.25,6.58,,,,
52001179,7.20,5.75,6.60,6.25,6.50,5.50,6.08,,,,
52001180,8.40,6.50,9.40,8.50,7.50,4.75,6.91,,,,
52001181,8.00,7.00,9.20,8.00,6.50,6.25,6.91,,,,
52001182,8.00,6.75,10.00,6.75,2.75,4.75,4.75,,,,
52001183,8.80,8.50,10.00,8.25,8.50,7.50,8.08,,,,
52001184,7.00,7.75,8.20,,,,,6.25,8.00,10.00,8.08
52001185,8.80,9.00,9.60,8.50,8.25,6.25,7.66,,,,
52001186,8.60,7.75,8.20,7.25,8.75,5.25,7.08,,,,
52001187,8.00,6.75,6.00,6.75,7.50,4.75,6.33,,,,
52001188,8.60,8.25,9.60,7.25,7.50,6.50,7.08,,,,
52001189,8.40,7.50,9.60,6.75,5.00,4.00,5.25,,,,
52001190,5.40,5.75,8.40,,,,,5.00,6.50,9.00,6.83
52001191,7.80,7.25,8.20,7.50,3.75,4.50,5.25,,,,
52001192,7.60,8.25,9.00,,,,,5.75,8.50,9.50,7.91
52001193,8.80,7.75,9.40,7.50,7.75,7.75,7.66,,,,
52001194,9.20,6.83,9.60,7.75,8.75,8.25,8.25,,,,
